Description,Size,Primary Color,Secondary Color,Habitat,Region,Diet,Beak Size,Beak Color,Legs Size,Legs Color,Eyes Size,Eyes Color
"Often spotted in, this bird stands out with its long green legs. Its diet includes, and it typically has a beak.",,black,,forest,,,,blue,long,green,,
"In the coastal of, you may encounter this bird featuring a short beak. Its feathers are purple, sometimes showing hues.",large,purple,,coastal,,seeds,short,,long,red,,
"The giant frame of this bird suits its life in coastal, where it often hunts. Its feathers range from red to around the wings.",giant,red,,coastal,North America,,,gray,,orange,small,green
"A truly remarkable species, with a blue beak and large eyes. It's considered a large bird, thriving in urban habitats.",large,,,urban,,fruits,,blue,short,brown,large,
"A medium bird, mainly gray in color, found across Australia. It has distinct long legs and is known to feed on insects.",medium,gray,purple,marsh,Australia,insects,short,blue,long,,,
"The medium frame of this bird suits its life in, where it often hunts. Its feathers range from white to yellow around the wings.",medium,white,yellow,,,,,,short,blue,,red
"Known for its brown eyes, this small bird is frequently seen in areas. Its feathers are primarily blue, and it sometimes displays a hint of.",small,blue,,,Australia,,,blue,long,,,brown
"Often spotted in, this bird stands out with its legs. Its diet includes, and it typically has a long beak.",small,blue,green,wetland,,,long,,,,large,
"A bird recognized by its long blue legs and striking red plumage. It thrives in forest, consuming for sustenance.",,red,,forest,North America,,,,long,blue,,
"A giant bird recognized by its legs and striking plumage. It thrives in, consuming for sustenance.",giant,,,,Europe,,long,green,,,large,orange
"A small bird recognized by its short brown legs and striking gray plumage. It thrives in forest, consuming for sustenance.",small,gray,,forest,Antarctica,,,yellow,short,brown,,brown
"Often spotted in, this bird stands out with its long red legs. Its diet includes, and it typically has a stout beak.",giant,red,gray,marsh,,,stout,,long,red,large,brown
"A small bird, mainly in color, found across Europe. It has distinct short green legs and is known to feed on.",small,,,,Europe,,short,gray,short,green,small,
"This bird can be identified by its patches over its black body. Native to, it has legs and prefers omnivorous as its primary diet.",small,black,,mountainous,,omnivorous,stout,blue,,,medium,black
"With medium eyes and a gray beak, this bird adapts well to marsh conditions. Its size is generally giant.",giant,purple,,marsh,,,,gray,short,orange,medium,
"A bird, mainly green in color, found across Australia. It has distinct long black legs and is known to feed on nectar.",,green,,,Australia,nectar,,blue,long,black,small,
"Often spotted in North America, this bird stands out with its legs. Its diet includes insects, and it typically has a beak.",tiny,yellow,,desert,North America,insects,,,,,medium,orange
"This large bird with orange plumage often appears in the coastal regions of South America, where it feeds on small mammals. It has a stout beak.",large,orange,brown,coastal,South America,small mammals,stout,,short,brown,large,orange
"This bird can be identified by its patches over its body. Native to Europe, it has legs and prefers insects as its primary diet.",,,,,Europe,insects,,,,,,black
"Known for its eyes, this giant bird is frequently seen in areas. Its feathers are primarily red, and it sometimes displays a hint of.",giant,red,,,,fruits,,white,,orange,,
"The medium frame of this bird suits its life in desert, where it often hunts fruits. Its feathers range from orange to around the wings.",medium,orange,,desert,Europe,fruits,curved,black,long,white,,green
"This bird can be identified by its patches over its red body. Native to Africa, it has medium legs and prefers insects as its primary diet.",medium,red,,urban,Africa,insects,,gray,medium,green,medium,red
"A tiny bird, mainly in color, found across. It has distinct short orange legs and is known to feed on nectar.",tiny,,blue,marsh,,nectar,thin,gray,short,orange,large,blue
"A bird, mainly in color, found across Asia. It has distinct yellow legs and is known to feed on.",,,yellow,forest,Asia,,thin,,,yellow,,yellow
"A medium bird, mainly blue in color, found across Africa. It has distinct medium brown legs and is known to feed on omnivorous.",medium,blue,,marsh,Africa,omnivorous,short,gray,medium,brown,small,
"A truly remarkable species, with a beak and large eyes. It's considered a medium bird, thriving in habitats.",medium,gray,red,,Asia,seeds,,,medium,,large,
"A truly remarkable species, with a stout blue beak and medium eyes. It's considered a tiny bird, thriving in forest habitats.",tiny,black,,forest,,fruits,stout,blue,long,black,medium,
"With small eyes and a long black beak, this bird adapts well to mountainous conditions. Its size is generally small.",small,red,,mountainous,Africa,,long,black,medium,gray,small,
"The tiny frame of this bird suits its life in, where it often hunts small mammals. Its feathers range from black to around the wings.",tiny,black,,,,small mammals,stout,,,gray,medium,
"The frame of this bird suits its life in grassland, where it often hunts insects. Its feathers range from orange to gray around the wings.",,orange,gray,grassland,,insects,,,long,blue,,
"In the marsh of Europe, you may encounter this bird featuring a curved beak. Its feathers are gray, sometimes showing green hues.",,gray,green,marsh,Europe,,curved,red,,orange,large,green
"A small bird recognized by its long green legs and striking plumage. It thrives in desert, consuming insects for sustenance.",small,,blue,desert,,insects,short,,long,green,medium,blue
"This large bird with purple plumage often appears in the urban regions of Asia, where it feeds on insects. It has a curved white beak.",large,purple,orange,urban,Asia,insects,curved,white,long,,,black
"Known for its small eyes, this bird is frequently seen in desert areas. Its feathers are primarily yellow, and it sometimes displays a hint of.",,yellow,,desert,Europe,,short,gray,,brown,small,
"With small eyes and a curved beak, this bird adapts well to marsh conditions. Its size is generally.",,white,,marsh,Europe,,curved,,medium,white,small,
"In the urban of Africa, you may encounter this bird featuring a thin beak. Its feathers are blue, sometimes showing hues.",medium,blue,,urban,Africa,,thin,,medium,orange,large,brown
"A small bird recognized by its blue legs and striking green plumage. It thrives in coastal, consuming omnivorous for sustenance.",small,green,orange,coastal,Africa,omnivorous,thin,gray,,blue,small,brown
"With small eyes and a red beak, this bird adapts well to coastal conditions. Its size is generally giant.",giant,red,,coastal,,small mammals,,red,long,green,small,
"A truly remarkable species, with a thin white beak and yellow eyes. It's considered a medium bird, thriving in coastal habitats.",medium,orange,,coastal,Australia,insects,thin,white,medium,,,yellow
"A bird recognized by its medium white legs and striking plumage. It thrives in, consuming nectar for sustenance.",,,,,Australia,nectar,,red,medium,white,,
"A truly remarkable species, with a orange beak and large brown eyes. It's considered a bird, thriving in habitats.",,white,,,Europe,,,orange,medium,black,large,brown
"The giant frame of this bird suits its life in marsh, where it often hunts seeds. Its feathers range from gray to orange around the wings.",giant,gray,orange,marsh,North America,seeds,curved,yellow,,red,large,orange
"This bird can be identified by its patches over its white body. Native to, it has long legs and prefers as its primary diet.",giant,white,,coastal,,,,green,long,,small,
"A large bird recognized by its long brown legs and striking white plumage. It thrives in, consuming fruits for sustenance.",large,white,,,,fruits,,green,long,brown,medium,red
"With medium eyes and a thin beak, this bird adapts well to urban conditions. Its size is generally medium.",medium,purple,orange,urban,Europe,fruits,thin,,short,blue,medium,
"Often spotted in Asia, this bird stands out with its short brown legs. Its diet includes small mammals, and it typically has a beak.",medium,,,forest,Asia,small mammals,,yellow,short,brown,,
"With medium brown eyes and a white beak, this bird adapts well to desert conditions. Its size is generally giant.",giant,yellow,green,desert,,fish,,white,medium,brown,medium,brown
"A truly remarkable species, with a curved beak and eyes. It's considered a medium bird, thriving in habitats.",medium,green,,,,fruits,curved,,long,,,
"A large bird recognized by its legs and striking gray plumage. It thrives in marsh, consuming for sustenance.",large,gray,,marsh,Africa,,thin,gray,,,,
"Often spotted in Antarctica, this bird stands out with its long legs. Its diet includes, and it typically has a beak.",medium,black,,wetland,Antarctica,,,red,long,,medium,green
